# unidec_export
0.000000000000000000e+00,1.196500000000000000e+04
0.000000000000000000e+00,1.196600000000000000e+04
0.000000000000000000e+00,1.196700000000000000e+04
0.000000000000000000e+00,1.196800000000000000e+04
0.000000000000000000e+00,1.196900000000000000e+04
0.000000000000000000e+00,1.197000000000000000e+04
0.000000000000000000e+00,1.197100000000000000e+04
0.000000000000000000e+00,1.197200000000000000e+04
0.000000000000000000e+00,1.197300000000000000e+04
0.000000000000000000e+00,1.197400000000000000e+04
0.000000000000000000e+00,1.197500000000000000e+04
0.000000000000000000e+00,1.197600000000000000e+04
0.000000000000000000e+00,1.197700000000000000e+04
0.000000000000000000e+00,1.197800000000000000e+04
0.000000000000000000e+00,1.197900000000000000e+04
0.000000000000000000e+00,1.198000000000000000e+04
0.000000000000000000e+00,1.198100000000000000e+04
0.000000000000000000e+00,1.198200000000000000e+04
0.000000000000000000e+00,1.198300000000000000e+04
0.000000000000000000e+00,1.198400000000000000e+04
0.000000000000000000e+00,1.198500000000000000e+04
0.000000000000000000e+00,1.198600000000000000e+04
0.000000000000000000e+00,1.198700000000000000e+04
0.000000000000000000e+00,1.198800000000000000e+04
0.000000000000000000e+00,1.198900000000000000e+04
0.000000000000000000e+00,1.199000000000000000e+04
0.000000000000000000e+00,1.199100000000000000e+04
0.000000000000000000e+00,1.199200000000000000e+04
0.000000000000000000e+00,1.199300000000000000e+04
0.000000000000000000e+00,1.199400000000000000e+04
0.000000000000000000e+00,1.199500000000000000e+04
0.000000000000000000e+00,1.199600000000000000e+04
0.000000000000000000e+00,1.199700000000000000e+04
0.000000000000000000e+00,1.199800000000000000e+04
0.000000000000000000e+00,1.199900000000000000e+04
9.473020553588867188e+00,1.200000000000000000e+04
2.427797698974609375e+01,1.200100000000000000e+04
3.408566284179687500e+01,1.200200000000000000e+04
4.736312103271484375e+01,1.200300000000000000e+04
6.482279968261718750e+01,1.200400000000000000e+04
8.555142974853515625e+01,1.200500000000000000e+04
1.092381439208984375e+02,1.200600000000000000e+04
1.345954437255859375e+02,1.200700000000000000e+04
1.568600006103515625e+02,1.200800000000000000e+04
1.865976257324218750e+02,1.200900000000000000e+04
2.093933105468750000e+02,1.201000000000000000e+04
2.275617065429687500e+02,1.201100000000000000e+04
2.392622375488281250e+02,1.201200000000000000e+04
2.432432403564453125e+02,1.201300000000000000e+04
2.391757659912109375e+02,1.201400000000000000e+04
2.277209625244140625e+02,1.201500000000000000e+04
2.035885314941406250e+02,1.201600000000000000e+04
1.861509857177734375e+02,1.201700000000000000e+04
1.574637451171875000e+02,1.201800000000000000e+04
1.416476287841796875e+02,1.201900000000000000e+04
1.191560516357421875e+02,1.202000000000000000e+04
9.906072998046875000e+01,1.202100000000000000e+04
